Mouse ID,Treatment,Time on wheel,latency to run,Frequency
CTL1,Control,327.049,264,137
CTL2,Control,434.945,145,74
CTL3,Control,232.3,296,63
CTL4,Control,488.698,116,72
CTL5,Control,293.939,60,116
CTL6,Control,35.8996,750,41
CTL7,Control,364.607,115,111
CTL8,Control,475.133,30.5333,89
CTL9,Control,735.199,37.5333,67
CTL10,Control,400.133,14.4,113
CTL11,Control,648.266,16.6,114
WL1,Exercise,406.677,97,69
WL2,Exercise,321,100,95
WL3,Exercise,559.933,22,144
WL4,Exercise,494.204,94,74
WL5,Exercise,523.761,12,73
WL6,Exercise,479.229,15,75
WL7,Exercise,362.363,47,136
WL8,Exercise,251.597,31,71
WL9,Exercise,578.066,24.6,108
WL10,Exercise,711.799,13.6,85
WL11,Exercise,886.999,27.4666,102
WL12,Exercise,1219.87,15.6,34
SI1,Isolation,332.207,142,68
SI2,Isolation,217.904,98,118
SI3,Isolation,82.1016,257,61
SI4,Isolation,100.569,91,63
SI5,Isolation,129.403,311,113
SI6,Isolation,101.132,241,55
SI7,Isolation,182.137,233,101
SI8,Isolation,354.333,16.6667,128
SI9,Isolation,332.533,40.4,68
SI10,Isolation,165.667,21.8666,103
SI11,Isolation,324.933,30.7333,57
